category,claim_id,description,value,units,source_file,source_locator,commit_sha,verification_method,notes
bound,bound_envelope_par_jid_consistent,"Bound at canonical t_crit=34.5h, JID-consistent F_median=72h",18.0,percent,computed,0.144*0.95 + 0.856*0.05 = 0.1798,dfff300,Sensitivity,Conservative parameterization at canonical t_crit. Updated 2026-05-06 to use canonical t_crit=34.5h.
NHP,tsai_24h_cv03,Tsai 1998 IV 24h delay: model E_PEP vs NHP protection,0.50 vs 1.00,probability,SRC/multiscale_model/results_v3/nhp_concordance.csv,"row: study=Tsai 1998 IV,delay_h=24,cv=0.3",37e27ea,fresh run reproduces byte-identical,Concordant: False (model under-predicts at short delay)
NHP,tsai_48h_cv03,Tsai 1998 IV 48h delay: model E_PEP vs NHP protection,0.00 vs 0.50,probability,SRC/multiscale_model/results_v3/nhp_concordance.csv,"row: study=Tsai 1998 IV,delay_h=48,cv=0.3",37e27ea,fresh run reproduces byte-identical,Concordant: False
NHP,otten_12h_cv03,Otten 2000 12h delay: model E_PEP vs NHP protection,0.95 vs 1.00,probability,SRC/multiscale_model/results_v3/nhp_concordance.csv,"row: study=Otten 2000,delay_h=12,cv=0.3",37e27ea,fresh run reproduces byte-identical,Concordant: True
NHP,otten_36h_cv03,Otten 2000 36h delay: model E_PEP vs NHP protection,0.95 vs 1.00,probability,SRC/multiscale_model/results_v3/nhp_concordance.csv,"row: study=Otten 2000,delay_h=36,cv=0.3",37e27ea,fresh run reproduces byte-identical,Concordant: True
NHP,otten_72h_cv03,Otten 2000 72h delay: model E_PEP vs NHP protection,0.0158 vs 0.50,probability,SRC/multiscale_model/results_v3/nhp_concordance.csv,"row: study=Otten 2000,delay_h=72,cv=0.3",37e27ea,fresh run reproduces byte-identical,Concordant: False
pk_driven,pk_tcrit_par_rho10,"PK-driven t_crit at ρ=1.0 (parenteral, upper corridor)",34.0,hours,v3_revision/r3_pk_pd/test_regression.py,VERDICT block parenteral R3 t_crit at 100% adherence,<V4_RELEASE_COMMIT_SHA>,run test_regression.py; verify output matches,Δ = -0.5h from multiscale baseline (34.5h); upper cliff of envelope corridor (S2)
pk_driven,pk_tcrit_par_rho030,"PK-driven t_crit at ρ=0.30 (parenteral, lower corridor)",32.0,hours,v3_revision/r3_pk_pd/test_regression.py,VERDICT block parenteral R3 t_crit at 30% adherence,<V4_RELEASE_COMMIT_SHA>,run test_regression.py; verify Adh=0.30 row t_crit_R3=32.0h,Δ = -2.5h from multiscale baseline (34.5h); lower cliff of envelope corridor (S2); NEW in v4
pk_driven,pk_tcrit_muc_rho10,"PK-driven t_crit at ρ=1.0 (mucosal, perfect adherence)",59.5,hours,v3_revision/r3_pk_pd/test_regression.py,VERDICT block mucosal R3 t_crit at 100% adherence,<V4_RELEASE_COMMIT_SHA>,run test_regression.py; verify output matches,Δ = -1.0h from multiscale baseline (60.5h); within tolerance
pk_driven,pk_envelope_rho10,"PK-driven envelope bound at ρ=1.0 (parenteral)",11.2,percent,v3_revision/r3_pk_pd/test_regression.py,VERDICT block parenteral R3 envelope at perf adherence,<V4_RELEASE_COMMIT_SHA>,run test_regression.py; verify output matches,Δ = -0.1 pp from v2 envelope (11.3%); within tolerance
corridor,corridor_upper_at_tacq_0,Envelope corridor upper bound at t_acq=0h (parenteral; ρ=1.0),0.9804,probability,v3_revision/results/pharmacy_sensitivity_corrected/envelope_corridor.csv,"row: t_acq_h=0.0, column E_PEP_upper",<V4_RELEASE_COMMIT_SHA>,run pharmacy_sensitivity.py; read row at t_acq=0,eps_drug(0) at ρ=1.0 with biology_term=1 (P_seed=P_int=0); NEW in v4
corridor,corridor_lower_at_tacq_0,Envelope corridor lower bound at t_acq=0h (parenteral; ρ=0.30),0.2577,probability,v3_revision/results/pharmacy_sensitivity_corrected/envelope_corridor.csv,"row: t_acq_h=0.0, column E_PEP_lower",<V4_RELEASE_COMMIT_SHA>,run pharmacy_sensitivity.py; read row at t_acq=0,eps_drug(0) at ρ=0.30; defines width of corridor near origin; NEW in v4
corridor,corridor_upper_at_tacq_24,Envelope corridor upper bound at t_acq=24h,0.4795,probability,v3_revision/results/pharmacy_sensitivity_corrected/envelope_corridor.csv,"row: t_acq_h=24.0, column E_PEP_upper",<V4_RELEASE_COMMIT_SHA>,run pharmacy_sensitivity.py; read row at t_acq=24,Steep-descent region; P_seed=1.0 P_int=0; biology_term drops to p1; NEW in v4
corridor,corridor_upper_at_tcrit,Envelope corridor upper bound at t_acq=t_crit(ρ=1.0)=34h,0.0234,probability,v3_revision/results/pharmacy_sensitivity_corrected/envelope_corridor.csv,"row: t_acq_h=34.0, column E_PEP_upper",<V4_RELEASE_COMMIT_SHA>,run pharmacy_sensitivity.py; read row at t_acq=34,Just inside η=0.05 threshold defining t_crit_R3; NEW in v4
pharmacy,hartford_epep_baseline,"Hartford E_PEP_upper at Δt_pharmacy = 0h (baseline; structural_delay_h = 24.4)",0.4789,probability,v3_revision/results/pharmacy_sensitivity_corrected/city_envelope_positions.csv,"row: city=Hartford, delta_t_pharm_h=0",<V4_RELEASE_COMMIT_SHA>,run pharmacy_sensitivity.py; verify Hartford row at Δt=0 ≈ 0.479,"Hartford sits at t_acq=24.4h, near upper cliff. SUPERSEDES v3 hartford_epep_baseline=0.47 which used internal reconstruction 27.2h; v4 reads structural delay from AIDSVu-derived city_pep_efficacy_results.csv directly"
pharmacy,hartford_epep_dt8h,"Hartford E_PEP_upper at Δt_pharmacy = 8h (structural_delay_h = 24.4)",0.1748,probability,v3_revision/results/pharmacy_sensitivity_corrected/city_envelope_positions.csv,"row: city=Hartford, delta_t_pharm_h=8",<V4_RELEASE_COMMIT_SHA>,run pharmacy_sensitivity.py; verify Hartford row at Δt=8,"At Δt_pharm=8h, Hartford t_acq=32.4h still on corridor (steep but not past t_crit). SUPERSEDES v3 hartford_epep_dt8h=0.00 which assumed reconstructed structural delay 27.2h"
pharmacy,hartford_epep_dt10h,"Hartford E_PEP_upper at Δt_pharmacy = 10h (first off-corridor sample)",0.0047,probability,v3_revision/results/pharmacy_sensitivity_corrected/city_envelope_positions.csv,"row: city=Hartford, delta_t_pharm_h=10",<V4_RELEASE_COMMIT_SHA>,run pharmacy_sensitivity.py; verify Hartford row at Δt=10,"Hartford t_acq=34.4h crosses upper cliff t_crit_R3(ρ=1.0)=34.0h; first off-corridor sample for any city in the 34-metro cohort; NEW in v4"
pharmacy,mean_epep_sweep_dt0,Cohort mean E_PEP_upper across 34 cities at Δt_pharmacy = 0h,96.2,percent,v3_revision/results/pharmacy_sensitivity_corrected/pharmacy_displacement_summary.csv,"row: delta_t_pharm_h=0, column mean_E_PEP_upper",<V4_RELEASE_COMMIT_SHA>,run pharmacy_sensitivity.py; verify mean_E_PEP_upper at Δt=0 ≈ 0.962,"REFRAMED in v4: this is the unweighted cohort mean of upper-corridor positions, NOT a population-weighted preventability estimate. High-burden metros are overrepresented relative to the US population. Value updated from v3 96.1% to 96.2% due to use of city CSV structural delays in v4"
pharmacy,mean_epep_sweep_dt12h,Cohort mean E_PEP_upper across 34 cities at Δt_pharmacy = 12h,86.5,percent,v3_revision/results/pharmacy_sensitivity_corrected/pharmacy_displacement_summary.csv,"row: delta_t_pharm_h=12, column mean_E_PEP_upper",<V4_RELEASE_COMMIT_SHA>,run pharmacy_sensitivity.py; verify mean_E_PEP_upper at Δt=12 ≈ 0.865,"REFRAMED in v4: same caveat as dt0 entry (cohort mean, not population-weighted). Value updated from v3 83.7% to 86.5% reflecting v4 city structural delays; 12h pharmacy delay reduces cohort mean by ~10 pp with Hartford contributing 0 (off corridor)"
displacement,displacement_count_dt_0_to_8,"Cities displaced past t_crit(ρ=1.0) at Δt_pharm ∈ {0,2,4,6,8}h",0/34,count,v3_revision/results/pharmacy_sensitivity_corrected/pharmacy_displacement_summary.csv,"rows: delta_t_pharm_h ∈ {0,2,4,6,8}, n_cities_displaced_past_tcrit",<V4_RELEASE_COMMIT_SHA>,run pharmacy_sensitivity.py; verify zero displacement column for Δt ≤ 8h,No cities cross the upper cliff for pharmacy delays up to 8h; NEW in v4
displacement,displacement_count_dt_10,Cities displaced past t_crit(ρ=1.0) at Δt_pharm = 10h,1/34,count,v3_revision/results/pharmacy_sensitivity_corrected/pharmacy_displacement_summary.csv,"row: delta_t_pharm_h=10, n_cities_displaced_past_tcrit; displaced_city_names=Hartford",<V4_RELEASE_COMMIT_SHA>,run pharmacy_sensitivity.py; verify Hartford in displaced_city_names at Δt=10,Hartford is the first and only city to cross the upper cliff (24.4h + 10h = 34.4h > 34.0h); NEW in v4
displacement,displacement_count_dt_12,Cities displaced past t_crit(ρ=1.0) at Δt_pharm = 12h,1/34,count,v3_revision/results/pharmacy_sensitivity_corrected/pharmacy_displacement_summary.csv,"row: delta_t_pharm_h=12, n_cities_displaced_past_tcrit; displaced_city_names=Hartford",<V4_RELEASE_COMMIT_SHA>,run pharmacy_sensitivity.py; verify Hartford remains the only displaced city at Δt=12,Hartford remains the only city displaced through Δt_pharm=12h; NEW in v4
provenance,v4_supersedes,"Items removed/reframed from v3 registry under the envelope-corridor refactor",N/A,N/A,PATCH_NOTES_envelope_corridor.md,supersession table,<V4_RELEASE_COMMIT_SHA>,documented in repository PATCH_NOTES file,"Removed in v4: envelope_sweep_dt0 (11.5%) and envelope_sweep_dt12h (9.6%) — both were scalar Bernoulli-mixture summaries that conflated F_access with eps_max and used a phantom eps_min=0.05 floor. Under the v4 gating-event framework eps_min=0 (no drug = no PK-mediated effect); the envelope is a 2D corridor (E_PEP vs t_acq), not a scalar. Reframed: mean_epep_sweep_dt0, mean_epep_sweep_dt12h (now described as unweighted cohort means rather than population estimates). Added: pk_tcrit_par_rho030, corridor_*, hartford_epep_dt10h, displacement_count_*. See supplement S2 for the full corridor framing"
