category,claim_id,description,value,units,source_file,source_locator,commit_sha,verification_method,notes
bound,bound_envelope_par_jid_consistent,Bound under JID-consistent F_median=72h,15.9,percent,computed,0.121*0.95 + 0.879*0.05 = 0.1590,analytical,Sensitivity,Conservative parameterization
NHP,tsai_24h_cv03,Tsai 1998 IV 24h delay: model E_PEP vs NHP protection,0.50 vs 1.00,probability,SRC/multiscale_model/results_v3/nhp_concordance.csv,"row: study=Tsai 1998 IV,delay_h=24,cv=0.3",d047d2d,fresh run reproduces byte-identical,Concordant: False (model under-predicts at short delay)
NHP,tsai_48h_cv03,Tsai 1998 IV 48h delay: model E_PEP vs NHP protection,0.00 vs 0.50,probability,SRC/multiscale_model/results_v3/nhp_concordance.csv,"row: study=Tsai 1998 IV,delay_h=48,cv=0.3",d047d2d,fresh run reproduces byte-identical,Concordant: False
NHP,otten_12h_cv03,Otten 2000 12h delay: model E_PEP vs NHP protection,0.95 vs 1.00,probability,SRC/multiscale_model/results_v3/nhp_concordance.csv,"row: study=Otten 2000,delay_h=12,cv=0.3",d047d2d,fresh run reproduces byte-identical,Concordant: True
NHP,otten_36h_cv03,Otten 2000 36h delay: model E_PEP vs NHP protection,0.95 vs 1.00,probability,SRC/multiscale_model/results_v3/nhp_concordance.csv,"row: study=Otten 2000,delay_h=36,cv=0.3",d047d2d,fresh run reproduces byte-identical,Concordant: True
NHP,otten_72h_cv03,Otten 2000 72h delay: model E_PEP vs NHP protection,0.0158 vs 0.50,probability,SRC/multiscale_model/results_v3/nhp_concordance.csv,"row: study=Otten 2000,delay_h=72,cv=0.3",d047d2d,fresh run reproduces byte-identical,Concordant: False
cascade,arch_current_policy_R0_zero,"Architectural barrier model, Current Policy P(R₀=0)",0.003,percent,~/PycharmProjects/hiv-prevention-master/config/architectural_barrier_results.json,observed_r0_zero_rate (scenario=Current Policy),companion paper,verified via JSON read,"95% CI [0.000, 0.006]"
cascade,pwid_sim_current_policy_R0_zero,"PWID simulation, Current Policy P(R₀=0)",0.007,percent,~/PycharmProjects/hiv-prevention-master/config/pwid_simulation_results.json,observed_r0_zero_rate (scenario=Current Policy),companion paper,verified via JSON read,
cascade,pwid_sim_decrim_R0_zero,"PWID simulation, Decriminalization Only P(R₀=0)",0.814,percent,~/PycharmProjects/hiv-prevention-master/config/pwid_simulation_results.json,observed_r0_zero_rate (scenario=Decriminalization Only),companion paper,verified via JSON read,
cascade,arch_msm_comparison,"Architectural model, MSM prevention success",16.3,percent,~/PycharmProjects/hiv-prevention-master/config/architectural_barrier_results.json,msm_comparison field,companion paper,cited via Claude.ai analysis,"PWID-vs-MSM disparity ~5,434-fold under current policy"
outbreak,outbreak_5yr_national,National outbreak probability within 5 years under current policy,73.8,percent,JID Supplement S2 (PDF),"Summary of Key Values, Stochastic Avoidance Results",companion paper,PDF text read,PSA 90% CI 63.5-82.0%
outbreak,outbreak_10yr_national,National outbreak probability within 10 years under current policy,92.7,percent,JID Supplement S2 (PDF),"Summary of Key Values, Stochastic Avoidance Results",companion paper,PDF text read,
outbreak,outbreak_median_yrs,Median years to outbreak (national),3.0,years,JID Supplement S2 (PDF),Figure S2,companion paper,PDF text read,IQR 1-6 years
outbreak,outbreak_pnw_5yr,Pacific Northwest 5-year outbreak probability,86.3,percent,JID Supplement S2 (PDF),Regional Outbreak Probabilities,companion paper,PDF text read,Highest-vulnerability region; median 2 years
